#
#
# US Geological Survey, Water Resources Data
# retrieved: 2018-01-27 14:24:44 EST      (vaww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 02091500 CONTENTNEA CREEK AT HOOKERTON, NC
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		85389	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
USGS	02091500	00060	85389	1942	1	169.3
USGS	02091500	00060	85389	1942	2	363.8
USGS	02091500	00060	85389	1942	3	1068
USGS	02091500	00060	85389	1942	4	485.2
USGS	02091500	00060	85389	1942	5	563.0
USGS	02091500	00060	85389	1942	6	156.7
USGS	02091500	00060	85389	1942	7	140.8
USGS	02091500	00060	85389	1942	8	446.0
USGS	02091500	00060	85389	1942	9	444.6
USGS	02091500	00060	85389	1942	10	2732
USGS	02091500	00060	85389	1942	11	627.9
USGS	02091500	00060	85389	1942	12	967.7
USGS	02091500	00060	85389	1943	1	1425
USGS	02091500	00060	85389	1943	2	1393
USGS	02091500	00060	85389	1943	3	1196
USGS	02091500	00060	85389	1943	4	1116
USGS	02091500	00060	85389	1943	5	477.4
USGS	02091500	00060	85389	1943	6	585.9
USGS	02091500	00060	85389	1943	7	1353
USGS	02091500	00060	85389	1943	8	188.0
USGS	02091500	00060	85389	1943	9	98.6
USGS	02091500	00060	85389	1943	10	56.6
USGS	02091500	00060	85389	1943	11	85.5
USGS	02091500	00060	85389	1943	12	192.2
USGS	02091500	00060	85389	1944	1	963.4
USGS	02091500	00060	85389	1944	2	1345
USGS	02091500	00060	85389	1944	3	2809
USGS	02091500	00060	85389	1944	4	1722
USGS	02091500	00060	85389	1944	5	386.6
USGS	02091500	00060	85389	1944	6	118.1
USGS	02091500	00060	85389	1944	7	120.7
USGS	02091500	00060	85389	1944	8	372.2
USGS	02091500	00060	85389	1944	9	56.6
USGS	02091500	00060	85389	1944	10	418.6
USGS	02091500	00060	85389	1944	11	204.9
USGS	02091500	00060	85389	1944	12	655.0
USGS	02091500	00060	85389	1945	1	695.8
USGS	02091500	00060	85389	1945	2	1099
USGS	02091500	00060	85389	1945	3	984.0
USGS	02091500	00060	85389	1945	4	247.5
USGS	02091500	00060	85389	1945	5	214.0
USGS	02091500	00060	85389	1945	6	160.1
USGS	02091500	00060	85389	1945	7	804.5
USGS	02091500	00060	85389	1945	8	1200
USGS	02091500	00060	85389	1945	9	2006
USGS	02091500	00060	85389	1945	10	397.5
